scientific name,chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,genus name,family name,woodiness
Isachne albens,°×»¨ÁøÒ¶óè,6,11,6,11,NA,Poaceae,CB
Isachne ciliatiflora,ÏËÃ«ÁøÒ¶óè,6,9,6,9,NA,Poaceae,CB
Isachne globosa,ÁøÒ¶óè,6,11,6,11,NA,Poaceae,CB
Isachne nipponensis,ÈÕ±¾ÁøÒ¶óè,6,11,6,11,NA,Poaceae,CB
Isachne truncata,Æ½Ó±ÁøÒ¶óè,8,10,8,10,NA,Poaceae,CB
Isatis oblongata,³¤Ô²¹ûİ¿À¶,6,7,6,7,Isatis,Brassicaceae,CB
Ischaemum rugosum,Ìï¼äÑ¼×ì²İ,6,11,6,11,NA,Poaceae,CB
Ischnogyne mandarinorum,Êİ·¿À¼,5,6,7,8,Ischnogyne,Orchidaceae,CB
Isodon adenanthus,ÏÙ»¨Ïã²è²Ë,7,8,7,9,Isodon,Lamiaceae,CB
Isodon adenolomus,ÏÙÒ¶Ïã²è²Ë,7,7,NA,NA,NA,Lamiaceae,WD
Isodon albopilosus,°×ÈáÃ«Ïã²è²Ë,7,9,8,10,Isodon,Lamiaceae,CB
Isodon amethystoides,Ïã²è²Ë,6,10,9,11,Isodon,Lamiaceae,CB
Isodon angustifolius,ÏÁÒ¶Ïã²è²Ë,9,10,10,11,Isodon,Lamiaceae,CB
Isodon barbeyanus,Ïß³İÏã²è²Ë,7,9,9,10,Isodon,Lamiaceae,WD
Isodon bulleyanus,²ÔÉ½Ïã²è²Ë,6,9,9,9,Isodon,Lamiaceae,WD
Isodon calcicolus,»ÒÑÒÏã²è²Ë,9,10,10,11,Isodon,Lamiaceae,CB
Isodon coetsa,Ï¸×¶Ïã²è²Ë,10,2,10,2,Isodon,Lamiaceae,CB
Isodon coetsa var. cavaleriei,¶àÃ«Ï¸×¶Ïã²è²Ë,NA,NA,NA,NA,NA,Lamiaceae,CB
Isodon dawoensis,µÀæÚÏã²è²Ë,9,9,NA,NA,NA,Lamiaceae,WD
Isodon enanderianus,×ÏÃ«Ïã²è²Ë,8,9,9,9,NA,Lamiaceae,WD
Isodon eriocalyx,Ã«İàÏã²è²Ë,7,11,11,12,Isodon,Lamiaceae,CB
Isodon excisoides,ÄâÈ±Ïã²è²Ë,7,9,8,10,Isodon,Lamiaceae,CB
Isodon excisus,Î²Ò¶Ïã²è²Ë,7,8,8,9,Isodon,Lamiaceae,CB
Isodon flabelliformis,ÉÈÂöÏã²è²Ë,9,10,9,10,Isodon,Lamiaceae,CB
Isodon flavidus,µ­»ÆÏã²è²Ë,9,11,9,11,Isodon,Lamiaceae,CB
Isodon flexicaulis,Èá¾¥Ïã²è²Ë,9,9,9,9,Isodon,Lamiaceae,WD
Isodon forrestii,×ÏİàÏã²è²Ë,7,8,8,9,Isodon,Lamiaceae,CB
Isodon gesneroides,ÜÄÌ¦Ïã²è²Ë,8,8,NA,NA,Isodon,Lamiaceae,CB
Isodon glutinosus,½ºÕ³Ïã²è²Ë,7,7,NA,NA,Isodon,Lamiaceae,WD
Isodon grandifolius var. atuntzeensis,µÂÇÕ´óÒ¶Ïã²è²Ë,NA,NA,NA,NA,NA,Lamiaceae,WD
Isodon grosseserratus,´Ö³İÏã²è²Ë,7,10,9,10,Isodon,Lamiaceae,CB
Isodon henryi,¶õÎ÷Ïã²è²Ë,8,9,9,10,Isodon,Lamiaceae,CB
